Loss,Rewards,Avg_reward
0,0.0,nan
0,0,0.0
0,5,2.5
0,0.0,1.6666666666666667
0,5,2.5
0,0,2.0
0,0.0,1.6666666666666667
0,0.0,1.4285714285714286
0,0.0,1.25
0,0.0,1.1111111111111112
0,0.0,1.0
0,0.0,0.9090909090909091
0,0.0,0.8333333333333334
0,0.0,0.7692307692307693
0,0.0,0.7142857142857143
0,0,0.6666666666666666
0,5,0.9375
0,0.0,0.8823529411764706
0,0.0,0.8333333333333334
0,5,1.0526315789473684
0,0,1.0
0,1,1.0
0,0.2,0.9636363637718287
0,5,1.139130434912184
0,0,1.091666666790843
0,0.0,1.0480000001192094
0,0.0,1.007692307806932
0,0.0,0.9703703704807494
0,5,1.1142857143921512
0,0,1.0758620690682839
0,0.0,1.040000000099341
0,0.5,1.0225806452574269
0,0.0,0.9906250000931323
0,0,0.9606060606963707
0,0,0.9323529412641245
0,0.0,0.9057142857994352
0,1,0.9083333334161175
0,0,0.8837837838643307
0,0.5,0.873684210604743
0,0.0,0.8512820513584675
0,0.0,0.8300000000745058
0,5,0.9317073171458593
0,0.0,0.9095238095947674
0,0.0,0.8883720930925635
0,0.0,0.8681818182495508
0,5,0.9600000000662274
0,0,0.9391304348473963
0,0.0,0.9191489362336219
0,0.0,0.9000000000620881
0,0.0,0.8816326531220455
0,5,0.9640000000596046
0,0.0,0.9450980392741222
0,0.0,0.9269230769803891
0,0.0,0.9094339623203818
0,0,0.8925925926477821
0,0.0,0.8763636364178224
0,0.0,0.8607142857675042
0,0,0.8456140351400041
0,0.0,0.831034482810004
0,0.0,0.8169491525928853
0,0,0.8033333333830038
0,0.0,0.7901639344750858
0,0.0,0.7774193548867779
0,5,0.8444444444917497
0,0.0,0.8312500000465661
0,0,0.8184615385073882
0,0.5,0.8136363636815187
0,0,0.8014925373579139
0,0.5,0.7970588235732388
0,0.0,0.7855072464200034
0,0.0,0.7742857143282891
0,0,0.7633802817321159
0,0.0,0.7527777778191699
0,0.0,0.7424657534654826
0,0,0.7324324324727058
0,0.0,0.7226666667064031
0,5,0.7789473684602662
0,0.0,0.7688311688698731
0,0.0,0.758974359012567
0,0.0,0.7493670886453194
0,0,0.7400000000372529
0,5,0.7925925926293855
0,0.0,0.782926829304637
0,0.0,0.7734939759395209
0,0.2,0.7666666667376246
0,0.0,0.7576470588936525
0,0.2,0.7511627908016361
0,0.0,0.7425287357349505
0,0,0.734090909192508
0,0.0,0.7258426967296707
0,0.0,0.7177777778771188
0,0.0,0.7098901099883593
0,0.2,0.7043478262165318
0,0.0,0.6967741936765691
0,0.2,0.6914893618606507
0,0.0,0.6842105264726438
0,5,0.7291666668218871
0,5,0.77319587644228
0,0.0,0.7653061226010323
0,0.0,0.7575757577262744
0,0.2,0.752000000178814
0,0,0.744554455622588
0,0.5,0.7421568629204058
0,1,0.7446601943483631
0,0.0,0.7375000001719365
0,0.0,0.7304761906464895
0,0.0,0.7235849058290698
0,0.5,0.7214953272699196
0,0,0.7148148149803832
0,0.2,0.7100917433106572
0,0,0.7036363638260148
0,0.0,0.6972972974852398
0,0.0,0.6910714287576931
0,0.5,0.6893805311580675
0,0.0,0.6833333335163301
0,0.0,0.6773913045292316
0,0.0,0.6715517243177727
